"","beta0.1","beta0.2","beta0.3"
"24855",4.87691797974859,4.9037252374627,5.10987782452187
"11388",5.11950524879608,4.96893476475645,5.05697524263644
"3491",5.01834951887721,4.92690677538688,5.00723247662908
"3098",4.89622509909808,4.95380899618861,5.12061912739469
"17508",4.88567008437874,5.09439396331482,5.05929020510833
"16145",5.21721591898307,4.95308638259373,5.07412346890708
"22832",4.76679733241943,4.91809050417917,5.0328867271048
"24384",4.80265515854765,5.00521257986151,5.12659747939396
"20351",4.76342427375137,5.05617924609135,5.03298138671717
"17424",5.04478366007532,4.83284540708594,5.07140611083348
"6836",5.08099062922975,4.98054128793188,5.04163311797218
"4916",4.95716361217371,5.20741528807409,5.1474524445915
"22255",5.10712774713027,5.04749419512152,5.11520882218101
"1443",4.84140310646921,4.92102534741513,5.14098459727041
"11091",4.96638392015253,4.84168642071055,5.12681727285322
"24756",4.99703933473028,4.91628944527415,5.09965453473037
"13935",4.98397823461111,5.023150871678,5.03376749247001
"9582",5.06980059262563,4.99834747760145,5.06321681618993
"8924",4.81302802146533,5.09813081592389,4.93115394563274
"8908",5.05595855107545,5.03009631914265,4.99916031158674
"13585",5.04874134199021,5.18006148682962,5.06407767928271
"14600",5.02861288260191,4.95616693920508,5.14037608714176
"6552",4.90680069234408,4.8889545664346,4.94792743620931
"14604",4.82996727336848,5.14050650053276,5.00714797174906
"17096",4.90613182146197,4.83750136562046,5.05388864014522
